Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
298.0,1,Colorado,,44,48,,Oct 25,,,,,,,,Rasmussen-1
298.0,3,Colorado,,43,42,,Oct 26,,,,,,,,RBI Strategies-3
296.0,7,Colorado,,46,47,,Oct 26,,,,,,,,Opinion Research-7
295.0,3,Colorado,,47,47,,Oct 23,,,,,,,,PPP-3
293.0,3,Colorado,,47,47,,Oct 21,,,,,,,,SurveyUSA-3
289.0,1,Colorado,,45,46,,Oct 16,,,,,,,,Pulse Opinion Research-1
289.0,3,Colorado,,45,48,,Oct 17,,,,,,,,IPSOS-3
287.0,1,Colorado,,45,47,,Oct 14,,,,,,,,Rasmussen-1
277.0,1,Colorado,,42,50,,Oct 04,,,,,,,,Marist Coll.-1
276.0,1,Colorado,,45,50,,Oct 03,,,,,,,,Rasmussen-1
274.0,3,Colorado,,46,45,,Oct 02,,,,,,,,PPP-3
272.0,3,Colorado,,43,48,,Sep 30,,,,,,,,SurveyUSA-3
270.0,1,Colorado,,43,51,,Sep 27,,,,,,,,Rasmussen-1
270.0,3,Colorado,,42,50,,Sep 28,,,,,,,,Marist Coll.-3
268.0,1,Colorado,,43,47,,Sep 25,,,,,,,,Pulse Opinion Research-1
262.0,5,Colorado,,44,49,,Sep 21,,,,,,,,Opinion Research-5
257.0,1,Colorado,,45,49,,Sep 14,,,,,,,,Rasmussen-1
242.0,5,Colorado,,43,40,,Sep 01,,,,,,,,POS+FMMM-5
241.0,1,Colorado,,45,49,,Aug 29,,,,,,,,Rasmussen-1
233.0,3,Colorado,,40,49,,Aug 22,,,,,,,,IPSOS-3
223.0,1,Colorado,,41,46,,Aug 11,,,,,,,,Rasmussen-1
219.5,2,Colorado,,46,43,,Aug 08,,,,,,,,PPP-2
209.0,3,Colorado,,43,43,,Jul 29,,,,,,,,SurveyUSA-3
207.0,1,Colorado,,42,48,,Jul 26,,,,,,,,Rasmussen-1
189.0,1,Colorado,,39,48,,Jul 08,,,,,,,,Rasmussen-1
167.0,3,Colorado,,43,46,,Jun 17,,,,,,,,SurveyUSA-3
158.0,1,Colorado,,41,46,,Jun 07,,,,,,,,Rasmussen-1
135.0,3,Colorado,,45,39,,May 16,,,,,,,,PPP-3
123.0,1,Colorado,,41,48,,May 03,,,,,,,,Rasmussen-1
 95.0,1,Colorado,,40,44,,Apr 05,,,,,,,,Rasmussen-1
 65.5,4,Colorado,,46,40,,Mar 08,,,,,,,,PPP-4
 61.0,1,Colorado,,38,44,,Mar 02,,,,,,,,Rasmussen-1
 33.0,1,Colorado,,41,45,,Feb 02,,,,,,,,Rasmussen-1
 13.0,1,Colorado,,38,43,,Jan 13,,,,,,,,Rasmussen-1
298.0,3,Connecticut,,52,44,,Oct 26,,,,,,,,Merriman River Group-3
297.0,1,Connecticut,,56,43,,Oct 24,,,,,,,,Rasmussen-1
296.0,1,Connecticut,,53,42,,Oct 23,,,,,,,,Pulse Opinion Research-1
294.0,7,Connecticut,,54,42,,Oct 24,,,,,,,,Quinnipiac U.-7
292.5,2,Connecticut,,57,39,,Oct 20,,,,,,,,Suffolk U.-2
287.0,1,Connecticut,,49,45,,Oct 14,,,,,,,,Rasmussen-1
287.0,1,Connecticut,,51,46,,Oct 14,,,,,,,,Rasmussen-1
282.0,1,Connecticut,,49,43,,Oct 09,,,,,,,,Pulse Opinion Research-1
282.0,5,Connecticut,,54,43,,Oct 11,,,,,,,,Quinnipiac U.-5
278.0,1,Connecticut,,54,43,,Oct 05,,,,,,,,Rasmussen-1
276.0,5,Connecticut,,54,41,,Oct 05,,,,,,,,Opinion Research-5
275.0,1,Connecticut,,52,42,,Oct 02,,,,,,,,Pulse Opinion Research-1
274.0,3,Connecticut,,53,41,,Oct 02,,,,,,,,PPP-3
269.0,1,Connecticut,,50,45,,Sep 26,,,,,,,,Rasmussen-1
266.5,6,Connecticut,,49,46,,Sep 26,,,,,,,,Quinnipiac U.-6
253.0,5,Connecticut,,51,45,,Sep 12,,,,,,,,Quinnipiac U.-5
252.0,1,Connecticut,,53,44,,Sep 09,,,,,,,,Rasmussen-1
223.0,1,Connecticut,,47,40,,Aug 11,,,,,,,,Rasmussen-1
211.5,6,Connecticut,,50,40,,Aug 02,,,,,,,,Quinnipiac U.-6
196.0,1,Connecticut,,53,40,,Jul 15,,,,,,,,Rasmussen-1
191.0,7,Connecticut,,54,37,,Jul 13,,,,,,,,Quinnipiac U.-7
156.0,7,Connecticut,,55,35,,Jun 08,,,,,,,,Quinnipiac U.-7
152.0,1,Connecticut,,56,33,,Jun 01,,,,,,,,Rasmussen-1
144.5,2,Connecticut,,56,31,,May 25,,,,,,,,Quinnipiac U.-2
138.0,1,Connecticut,,48,45,,May 18,,,,,,,,Rasmussen-1
124.0,1,Connecticut,,52,39,,May 04,,,,,,,,Rasmussen-1
 97.0,1,Connecticut,,55,35,,Apr 07,,,,,,,,Rasmussen-1
 71.0,7,Connecticut,,61,28,,Mar 15,,,,,,,,Quinnipiac U.-7
 61.0,1,Connecticut,,60,31,,Mar 02,,,,,,,,Rasmussen-1
 32.0,1,Connecticut,,56,36,,Feb 01,,,,,,,,Rasmussen-1
 10.0,5,Connecticut,,64,23,,Jan 12,,,,,,,,Quinnipiac U.-5
  8.5,6,Connecticut,,47,35,,Jan 11,,,,,,,,Polimetrix-6
  6.0,1,Connecticut,,58,34,,Jan 06,,,,,,,,Rasmussen-1
  4.5,2,Connecticut,,60,28,,Jan 05,,,,,,,,PPP-2
299.0,3,Delaware,,51,41,,Oct 27,,,,,,,,Monmouth U.-3
296.0,7,Delaware,,57,36,,Oct 26,,,,,,,,Fairleigh Dickinson U.-7
287.0,1,Delaware,,51,40,,Oct 14,,,,,,,,Rasmussen-1
284.5,2,Delaware,,54,33,,Oct 12,,,,,,,,SurveyUSA-2
283.0,5,Delaware,,57,38,,Oct 12,,,,,,,,Opinion Research-5
282.5,4,Delaware,,57,38,,Oct 11,,,,,,,,Monmouth U.-4
282.0,1,Delaware,,54,38,,Oct 09,,,,,,,,Pulse Opinion Research-1
273.0,7,Delaware,,53,36,,Oct 03,,,,,,,,Fairleigh Dickinson U.-7
269.0,1,Delaware,,49,40,,Sep 26,,,,,,,,Rasmussen-1
266.0,15,Delaware,,49,30,,Sep 30,,,,,,,,U. of Delaware-15
262.0,5,Delaware,,55,39,,Sep 21,,,,,,,,Opinion Research-5
261.0,1,Delaware,,54,39,,Sep 18,,,,,,,,Pulse Opinion Res.-1
258.0,1,Delaware,,53,42,,Sep 15,,,,,,,,Rasmussen-1
254.5,2,Delaware,,50,34,,Sep 12,,,,,,,,PPP-2
245.0,1,Delaware,,47,36,,Sep 02,,,,,,,,Rasmussen-1
300.0,1,Florida,,16,50,30,Oct 27,,,,,,,,Rasmussen-1
299.5,2,Florida,,23,47,27,Oct 27,,,,,,,,Sunshine State News-2
299.5,4,Florida,,18,42,31,Oct 28,,,,,,,,YouGov-4
299.0,3,Florida,,21,45,28,Oct 27,,,,,,,,Mason Dixon-3
294.0,7,Florida,,15,42,35,Oct 24,,,,,,,,Quinnipiac U.-7
292.5,4,Florida,,18,40,33,Oct 21,,,,,,,,Zogby-4
291.0,1,Florida,,20,43,32,Oct 18,,,,,,,,Rasmussen-1
290.0,5,Florida,,20,41,26,Oct 19,,,,,,,,IPSOS-5
290.0,5,Florida,,20,46,32,Oct 19,,,,,,,,Opinion Research-5
288.5,4,Florida,,22,39,31,Oct 17,,,,,,,,Suffolk U.-4
282.5,2,Florida,,21,44,33,Oct 10,,,,,,,,PPP-2
281.0,5,Florida,,22,44,30,Oct 10,,,,,,,,Quinnipiac U.-5
280.0,1,Florida,,19,50,25,Oct 07,,,,,,,,Rasmussen-1
278.0,3,Florida,,21,42,27,Oct 06,,,,,,,,Mason Dixon-3
273.0,1,Florida,,16,40,33,Sep 30,,,,,,,,Pulse Opinion Research-1
271.0,1,Florida,,21,41,30,Sep 28,,,,,,,,Rasmussen-1
271.0,3,Florida,,18,39,33,Sep 29,,,,,,,,Zogby-3
269.5,8,Florida,,26,46,27,Sep 30,,,,,,,,Miami Dade Coll.-8
269.0,5,Florida,,23,42,31,Sep 28,,,,,,,,Opinion Research-5
268.5,6,Florida,,18,46,33,Sep 28,,,,,,,,Quinnipiac U.-6
264.0,3,Florida,,23,40,28,Sep 22,,,,,,,,Mason Dixon-3
257.0,1,Florida,,23,41,30,Sep 14,,,,,,,,Rasmussen-1
254.0,1,Florida,,21,43,27,Sep 11,,,,,,,,Pulse Opinion Res.-1
254.0,3,Florida,,21,40,26,Sep 12,,,,,,,,IPSOS-3
247.5,6,Florida,,24,36,34,Sep 07,,,,,,,,Opinion Research-6
237.0,1,Florida,,21,40,30,Aug 25,,,,,,,,Rasmussen-1
233.5,2,Florida,,17,40,32,Aug 22,,,,,,,,PPP-2
225.5,6,Florida,,16,32,39,Aug 16,,,,,,,,Quinnipiac U.-6
222.0,3,Florida,,18,38,33,Aug 11,,,,,,,,Mason Dixon-3
221.0,1,Florida,,21,38,33,Aug 09,,,,,,,,Rasmussen-1
218.0,1,Florida,,19,33,38,Aug 06,,,,,,,,IPSOS-1
207.0,5,Florida,,12,30,41,Jul 28,,,,,,,,NY Times-5
207.0,5,Florida,,13,30,41,Jul 28,,,,,,,,U. of South Florida-5
205.5,6,Florida,,13,33,39,Jul 27,,,,,,,,Quinnipiac U.-6
202.0,1,Florida,,20,35,33,Jul 21,,,,,,,,Rasmussen-1
198.0,3,Florida,,17,29,35,Jul 18,,,,,,,,PPP-3
191.0,3,Florida,,17,28,35,Jul 11,,,,,,,,IPSOS-3
187.0,1,Florida,,15,36,34,Jul 06,,,,,,,,Rasmussen-1
158.0,1,Florida,,15,37,37,Jun 07,,,,,,,,Rasmussen-1
155.0,7,Florida,,17,33,37,Jun 07,,,,,,,,Quinnipiac U.-7
136.0,1,Florida,,18,39,31,May 16,,,,,,,,Rasmussen-1
136.0,5,Florida,,15,27,30,May 18,,,,,,,,IPSOS-5
124.0,3,Florida,,19,32,38,May 05,,,,,,,,Mason Dixon-3
123.0,1,Florida,,17,34,38,May 03,,,,,,,,Rasmussen-1
111.0,1,Florida,,22,37,30,Apr 21,,,,,,,,Rasmussen-1
100.5,6,Florida,,24,30,32,Apr 13,,,,,,,,Quinnipiac U.-6
 77.0,1,Florida,,25,42,22,Mar 18,,,,,,,,Rasmussen-1
 65.5,4,Florida,,25,34,27,Mar 08,,,,,,,,PPP-4
297.0,1,Georgia,,29,59,,Oct 24,,,,,,,,Rasmussen-1
295.5,4,Georgia,,34,58,,Oct 24,,,,,,,,SurveyUSA-4
279.0,1,Georgia,,38,53,,Oct 06,,,,,,,,Rasmussen-1
270.0,1,Georgia,,29,61,,Sep 27,,,,,,,,Insider Advantage-1
264.0,1,Georgia,,36,52,,Sep 21,,,,,,,,Rasmussen-1
257.5,4,Georgia,,34,52,,Sep 16,,,,,,,,Insider Advantage-4
257.0,3,Georgia,,33,52,,Sep 15,,,,,,,,Mason Dixon-3
254.0,3,Georgia,,34,56,,Sep 12,,,,,,,,SurveyUSA-3
230.0,1,Georgia,,35,47,,Aug 18,,,,,,,,Insider Advantage-1
223.0,1,Georgia,,41,55,,Aug 11,,,,,,,,Rasmussen-1
140.0,1,Georgia,,30,57,,May 20,,,,,,,,Rasmussen-1
112.0,1,Georgia,,35,51,,Apr 22,,,,,,,,Rasmussen-1
286.0,1,Hawaii,,53,40,,Oct 13,,,,,,,,Rasmussen-1
275.5,2,Hawaii,,65,29,,Oct 03,,,,,,,,PPP-2
175.0,1,Hawaii,,68,20,,Jun 24,,,,,,,,Rasmussen-1
  1.0,1,Hawaii,,76,21,,Jan 01,,,,,,,,2004 Election-1
294.0,3,Idaho,,20,64,,Oct 22,,,,,,,,Mason Dixon-3
294.0,3,Idaho,,20,64,,Oct 22,,,,,,,,Penn Schoen Berland-3
257.0,3,Idaho,,17,61,,Sep 15,,,,,,,,Mason Dixon-3
248.0,9,Idaho,,16,74,,Sep 09,,,,,,,,Idaho Media-9
243.0,1,Idaho,,24,63,,Aug 31,,,,,,,,Rasmussen-1
196.0,1,Idaho,,27,64,,Jul 15,,,,,,,,Rasmussen-1
131.0,1,Idaho,,22,66,,May 11,,,,,,,,Rasmussen-1
299.0,1,Illinois,,42,46,,Oct 26,,,,,,,,Rasmussen-1
296.0,1,Illinois,,41,43,,Oct 23,,,,,,,,Pulse Opinion Research-1
293.0,5,Illinois,,41,44,,Oct 22,,,,,,,,Chicago Tribune-5
293.0,5,Illinois,,41,44,,Oct 22,,,,,,,,Market Shares-5
292.0,3,Illinois,,41,43,,Oct 20,,,,,,,,Mason Dixon-3
291.0,1,Illinois,,40,44,,Oct 18,,,,,,,,Rasmussen-1
288.0,3,Illinois,,40,42,,Oct 16,,,,,,,,PPP-3
284.0,1,Illinois,,44,43,,Oct 11,,,,,,,,Rasmussen-1
278.0,11,Illinois,,37,37,,Oct 10,,,,,,,,Paul Simon Public Policy Institute-11
278.0,11,Illinois,,37,37,,Oct 10,,,,,,,,Southern Illinois University-11
277.0,1,Illinois,,41,45,,Oct 04,,,,,,,,Rasmussen-1
274.5,4,Illinois,,41,42,,Oct 03,,,,,,,,Suffolk U.-4
269.0,5,Illinois,,38,36,,Sep 28,,,,,,,,Chicago Tribune-5
269.0,5,Illinois,,43,42,,Sep 28,,,,,,,,Opinion Research-5
268.0,1,Illinois,,40,42,,Sep 25,,,,,,,,Pulse Opinion Research-1
267.5,4,Illinois,,36,40,,Sep 26,,,,,,,,PPP-4
267.5,4,Illinois,,40,37,,Sep 26,,,,,,,,Global Strategy-4
264.0,1,Illinois,,41,44,,Sep 21,,,,,,,,Rasmussen-1
250.0,1,Illinois,,37,41,,Sep 07,,,,,,,,Rasmussen-1
242.0,5,Illinois,,34,34,,Sep 01,,,,,,,,Chicago Tribune-5
235.0,1,Illinois,,42,40,,Aug 23,,,,,,,,Rasmussen-1
226.5,2,Illinois,,37,35,,Aug 15,,,,,,,,PPP-2
221.0,1,Illinois,,40,40,,Aug 09,,,,,,,,Rasmussen-1
207.0,1,Illinois,,43,41,,Jul 26,,,,,,,,Rasmussen-1
188.0,1,Illinois,,40,39,,Jul 07,,,,,,,,Rasmussen-1
163.5,2,Illinois,,31,30,,Jun 13,,,,,,,,PPP-2
158.0,1,Illinois,,39,42,,Jun 07,,,,,,,,Rasmussen-1
118.0,1,Illinois,,38,46,,Apr 28,,,,,,,,Rasmussen-1
115.0,3,Illinois,,35,35,,Apr 26,,,,,,,,PPP-3
 95.0,1,Illinois,,37,41,,Apr 05,,,,,,,,Rasmussen-1
 93.0,5,Illinois,,33,37,,Apr 05,,,,,,,,PPP-5
 67.0,1,Illinois,,44,41,,Mar 08,,,,,,,,Rasmussen-1
 34.0,1,Illinois,,40,46,,Feb 03,,,,,,,,Rasmussen-1
 23.5,4,Illinois,,42,34,,Jan 25,,,,,,,,PPP-4
296.0,5,Indiana,,32,54,,Oct 25,,,,,,,,SurveyUSA-5
293.5,2,Indiana,,34,52,,Oct 21,,,,,,,,Rasmussen-2
293.0,3,Indiana,,35,53,,Oct 21,,,,,,,,EPIC MRA-3
273.0,3,Indiana,,33,51,,Oct 01,,,,,,,,EPIC MRA-3
257.5,2,Indiana,,34,50,,Sep 15,,,,,,,,Rasmussen-2
217.5,4,Indiana,,29,50,,Aug 07,,,,,,,,Rasmussen-4
213.5,4,Indiana,,35,50,,Aug 03,,,,,,,,Polling Company-4
189.0,1,Indiana,,30,51,,Jul 08,,,,,,,,Rasmussen-1
153.5,2,Indiana,,33,47,,Jun 03,,,,,,,,Rasmussen-2
125.5,2,Indiana,,36,51,,May 06,,,,,,,,Rasmussen-2
114.0,5,Indiana,,31,47,,Apr 26,,,,,,,,SurveyUSA-5
103.5,2,Indiana,,33,54,,Apr 14,,,,,,,,Rasmussen-2
 76.5,2,Indiana,,34,49,,Mar 18,,,,,,,,Rasmussen-2
 47.5,2,Indiana,,32,46,,Feb 17,,,,,,,,Rasmussen-2
266.0,1,Iowa,,37,55,,Sep 23,,,,,,,,Rasmussen-1
263.5,4,Iowa,,33,61,,Sep 22,,,,,,,,Selzer-4
217.0,1,Iowa,,35,55,,Aug 05,,,,,,,,Rasmussen-1
165.0,1,Iowa,,37,54,,Jun 14,,,,,,,,Rasmussen-1
146.0,3,Iowa,,31,57,,May 27,,,,,,,,PPP-3
119.0,1,Iowa,,40,53,,Apr 29,,,,,,,,Rasmussen-1
 76.0,1,Iowa,,36,55,,Mar 17,,,,,,,,Rasmussen-1
 53.0,1,Iowa,,36,53,,Feb 22,,,,,,,,Rasmussen-1
 26.0,1,Iowa,,31,59,,Jan 26,,,,,,,,Rasmussen-1
297.0,5,Kansas,,26,66,,Oct 26,,,,,,,,SurveyUSA-5
284.0,3,Kansas,,27,67,,Oct 12,,,,,,,,SurveyUSA-3
258.0,3,Kansas,,24,66,,Sep 16,,,,,,,,SurveyUSA-3
225.5,4,Kansas,,23,69,,Aug 15,,,,,,,,SurveyUSA-4
216.0,1,Kansas,,28,61,,Aug 04,,,,,,,,Rasmussen-1
181.0,1,Kansas,,23,59,,Jun 30,,,,,,,,Rasmussen-1
131.0,1,Kansas,,25,61,,May 11,,,,,,,,Rasmussen-1
300.0,1,Kentucky,,41,53,,Oct 27,,,,,,,,Rasmussen-1
299.0,3,Kentucky,,39,47,,Oct 27,,,,,,,,Braun Research-3
298.5,4,Kentucky,,43,52,,Oct 27,,,,,,,,SurveyUSA-4
296.0,1,Kentucky,,43,50,,Oct 23,,,,,,,,Pulse Opinion Research-1
296.0,7,Kentucky,,43,50,,Oct 26,,,,,,,,Opinion Research-7
295.5,4,Kentucky,,40,53,,Oct 24,,,,,,,,PPP-4
291.5,2,Kentucky,,43,48,,Oct 19,,,,,,,,Mason Dixon-2
291.0,1,Kentucky,,42,47,,Oct 18,,,,,,,,Rasmussen-1
278.0,3,Kentucky,,40,43,,Oct 06,,,,,,,,Braun Research-3
272.0,1,Kentucky,,38,49,,Sep 29,,,,,,,,Rasmussen-1
265.0,3,Kentucky,,47,49,,Sep 23,,,,,,,,SurveyUSA-3
254.5,2,Kentucky,,42,49,,Sep 12,,,,,,,,PPP-2
250.0,1,Kentucky,,39,54,,Sep 07,,,,,,,,Rasmussen-1
247.5,6,Kentucky,,46,46,,Sep 07,,,,,,,,Opinion Research-6
245.0,1,Kentucky,,40,55,,Sep 02,,,,,,,,SurveyUSA-1
243.0,3,Kentucky,,37,42,,Sep 01,,,,,,,,Braun Research-3
243.0,3,Kentucky,,40,55,,Sep 01,,,,,,,,SurveyUSA-3
229.0,1,Kentucky,,40,49,,Aug 17,,,,,,,,Rasmussen-1
229.0,3,Kentucky,,42,41,,Aug 18,,,,,,,,Braun Research-3
226.0,3,Kentucky,,40,45,,Aug 15,,,,,,,,IPSOS-3
215.0,3,Kentucky,,31,41,,Aug 04,,,,,,,,Braun Research-3
209.0,3,Kentucky,,43,51,,Jul 29,,,,,,,,SurveyUSA-3
201.0,1,Kentucky,,41,49,,Jul 20,,,,,,,,Rasmussen-1
201.0,3,Kentucky,,38,41,,Jul 21,,,,,,,,Braun Research-3
180.0,3,Kentucky,,43,43,,Jun 30,,,,,,,,PPP-3
179.0,1,Kentucky,,42,49,,Jun 28,,,,,,,,Rasmussen-1
152.0,1,Kentucky,,41,49,,Jun 01,,,,,,,,Rasmussen-1
148.0,3,Kentucky,,45,51,,May 29,,,,,,,,SurveyUSA-3
139.0,1,Kentucky,,34,59,,May 19,,,,,,,,Rasmussen-1
121.5,2,Kentucky,,40,41,,May 02,,,,,,,,PPP-2
118.0,1,Kentucky,,38,47,,Apr 28,,,,,,,,Rasmussen-1
 90.0,1,Kentucky,,36,50,,Mar 31,,,,,,,,Rasmussen-1
 61.0,1,Kentucky,,34,49,,Mar 02,,,,,,,,Rasmussen-1
 33.0,1,Kentucky,,39,47,,Feb 02,,,,,,,,Rasmussen-1
  6.0,1,Kentucky,,38,46,,Jan 06,,,,,,,,Rasmussen-1
295.5,4,Louisiana,,38,50,,Oct 24,,,,,,,,Clarus-4
233.5,2,Louisiana,,41,51,,Aug 22,,,,,,,,PPP-2
